URL,Status
https://www.wsj.com/,200
https://www.wsj.com/news/markets/real-estate-commercial,200
https://www.wsj.com/news/life-work/automotive,200
https://www.wsj.com/news/author/sumathi-reddy,200
https://www.wsj.com/articles/girls-high-school-basketball-11663645280,200
https://www.wsj.com/news/author/joseph-c-sternberg,200
https://www.wsj.com/news/world,200
https://www.wsj.com/news/opinion,200
https://www.wsj.com/news/business/financial-services,200
https://www.wsj.com/news/books-arts/arts,200
https://www.wsj.com/articles/beyond-meat-is-beyond-hope-market-capitalization-vegetarian-stock-price-fake-burger-grocery-store-ipo-customer-walmart-mcdonalds-11663513782,200
https://www.wsj.com/news/business/transportation,200
https://www.wsj.com/pro/venturecapital,301
https://www.wsj.com/news/author/greg-ip,200
https://www.wsj.com/news/opinion?mod=breadcrumb,200
https://www.wsj.com/news/life-work/ideas,200
https://www.wsj.com/news/business/food-tobacco,200
https://www.wsj.com/podcasts/latest/wsj-your-money-matters,301
https://www.wsj.com/news/types/design,200
https://www.wsj.com/fonts/woffs/escrow/escrow+display+condensed+light.woff2,200
https://www.wsj.com/news/cfo-journal,200
https://www.wsj.com/news/cio-journal,200
https://www.wsj.com/graphics/econsurvey/,200
https://www.wsj.com/news/types/cultural-commentary,200
https://www.wsj.com/news/types/future-view,200
https://www.wsj.com/podcasts/latest/wsj-tech-news-briefing,301
https://www.wsj.com/news/types/management-careers,200
https://www.wsj.com/news/types/personal-finance,200
https://www.wsj.com/news/author/william-a-galston,200
https://www.wsj.com/news/author/william-mcgurn,200
https://www.wsj.com/news/types/film-review,200
https://www.wsj.com/video/browse/life-culture/arts-and-entertainment,200
https://www.wsj.com/news/types/notable-quotable,200
https://www.wsj.com/video/browse/tech,200
https://www.wsj.com/news/author/elizabeth-anne-bernstein,200
https://www.wsj.com/news/realestate,200
https://www.wsj.com/podcasts/latest/wsj-opinion-potomac-watch,301
https://www.wsj.com/news/types/china-news,200
https://www.wsj.com/news/author/rachel-feintzeig,200
https://www.wsj.com/news/types/latin-america-news,200
https://www.wsj.com/news/author/allysia-finley,200
https://www.wsj.com/market-data/mutualfunds-etfs,200
https://www.wsj.com/articles/is-the-pandemic-over-or-not-covid-public-health-emergency-joe-biden-60-minutes-11663623792,200
https://www.wsj.com/market-data/quotes/company-list/,200
https://www.wsj.com/podcasts/latest/wsj-secrets-of-wealthy-women,301
https://www.wsj.com/news/types/dance-review,200
https://www.wsj.com/news/author/lettie-teague,200
https://www.wsj.com/news/author/jacob-gallagher,200
https://www.wsj.com/coupons/american-eagle-outfitters,200
https://www.wsj.com/recipes,200
https://www.wsj.com/news/author/andy-kessler,200
https://www.wsj.com/articles/charter-communications-hit-with-7-billion-in-punitive-damages-for-2019-customer-murder-11658874099?mod=article_inline,200
https://www.wsj.com/news/author/emily-glazer,200
https://www.wsj.com/news/author/patience-haggin,200
https://www.wsj.com/news/types/journal-reports-leadership?mod=bigtop-breadcrumb,200
https://www.wsj.com/_next/public/img/buyside/favicon/apple-icon-114x114.png,200
https://www.wsj.com/_next/public/img/buyside/favicon/favicon-96x96.png,200
https://www.wsj.com/buyside/author/martha-c-white,200
https://www.wsj.com/_next/public/img/buyside/favicon/apple-icon-76x76.png,200
https://www.wsj.com/_next/public/img/buyside/favicon/apple-icon-120x120.png,200
https://www.wsj.com/_next/public/img/buyside/favicon/apple-icon-72x72.png,200
https://www.wsj.com/?mod=wsjcbs_footer,200
https://www.wsj.com/_next/public/img/buyside/favicon/apple-icon-144x144.png,200
https://www.wsj.com/buyside/author/geoff-williams,200
https://www.wsj.com/_next/public/img/buyside/favicon/apple-icon-60x60.png,200
https://www.wsj.com/buyside/personal-finance,200
https://www.wsj.com/_next/public/img/buyside/favicon/apple-icon-180x180.png,200
